term,Plot freq,Negative freq,Positive freq
a,674,1613,1775
senior,2,0,0
at,61,152,152
an,133,256,333
elite,5,0,0
college,4,9,4
katie,1,0,0
holmes,2,1,0
already,3,14,6
under,11,18,14
severe,1,1,1
pressure,2,1,2
to,556,1010,942
complete,5,8,5
her,184,25,39
thesis,2,0,0
and,556,1179,1637
land,6,4,4
prestigious,2,0,0
job,11,8,11
must,18,16,14
confront,3,0,1
the,1007,2288,2346
sudden,2,1,1
reappearance,1,0,0
of,457,1235,1480
old,25,44,53
boyfriend,6,0,0
charlie,4,1,7
hunnam,2,0,1
after,45,45,20
his,256,107,161
two,34,32,43
year,23,32,60
unexplained,2,1,0
absence,1,1,1
a senior,2,0,0
senior at,1,0,0
at an,1,2,0
an elite,4,0,0
elite college,1,0,0
college katie,1,0,0
katie holmes,1,0,0
holmes already,1,0,0
already under,1,0,0
under severe,1,0,0
severe pressure,1,0,0
pressure to,1,0,0
to complete,1,0,0
complete her,1,0,0
her thesis,2,0,0
thesis and,2,0,0
and land,1,0,0
land a,1,0,0
a prestigious,2,0,0
prestigious job,1,0,0
job must,1,0,0
must confront,1,0,0
confront the,2,0,0
the sudden,1,0,0
sudden reappearance,1,0,0
reappearance of,1,0,0
of her,14,0,6
her old,1,0,0
old boyfriend,1,0,0
boyfriend charlie,1,0,0
charlie hunnam,1,0,1
hunnam after,1,0,0
after his,5,0,0
his two,2,0,2
two year,2,0,0
year unexplained,1,0,0
unexplained absence,1,0,0
catherine,3,0,1
burke,1,0,1
is,293,726,818
catherine burke,1,0,0
burke holmes,1,0,0
holmes is,1,0,0
is under,1,0,0
under pressure,1,0,1
she,73,18,20
faces,2,4,1
exams,2,0,0
completion,1,0,0
competitive,1,0,0
interview,2,0,0
process,6,4,9
all,46,164,167
which,21,53,53
compounded,1,0,0
when,82,76,43
police,10,5,2
detective,10,0,5
wade,3,1,0
handler,2,0,0
bratt,1,1,0
begins,15,4,12
investigating,4,1,0
disappearance,2,0,0
embry,3,0,0
langan,1,0,0
young,23,16,23
man,37,25,45
whose,6,14,9
memory,3,4,10
haunts,1,0,0
obsesses,1,0,0
she faces,1,0,0
faces exams,1,0,0
exams completion,1,0,0
completion of,1,0,0
and a,18,37,54
a competitive,1,0,0
competitive interview,1,0,0
interview process,1,0,0
process all,1,0,0
all of,5,10,11
of which,1,2,2
which is,3,6,7
is compounded,1,0,0
compounded when,1,0,0
when a,13,6,2
a police,2,0,0
police detective,3,0,0
detective wade,1,0,0
wade handler,1,0,0
handler bratt,1,0,0
bratt begins,1,0,0
begins investigating,1,0,0
investigating the,1,1,0
the two,11,1,8
year old,14,6,13
old disappearance,1,0,0
disappearance of,1,0,0
her boyfriend,1,0,0
boyfriend embry,1,0,0
embry langan,1,0,0
langan hunnam,1,0,0
hunnam a,1,0,0
a young,6,3,3
young man,4,2,1
man whose,2,1,0
whose memory,1,0,0
memory haunts,1,0,0
haunts and,1,0,0
and obsesses,1,0,0
obsesses her,1,0,0
as,141,441,430
investigation,11,0,0
continues,5,0,4
forced,8,11,2
choose,3,3,1
between,18,27,37
past,12,14,12
passions,1,0,3
new,55,48,47
possibilities,2,1,1
even,12,92,85
discovering,4,0,0
surprising,1,8,9
facts,1,1,2
about,39,143,153
possible,4,6,9
connection,2,0,3
another,12,51,34
from,79,154,165
campus,2,0,0
as the,19,46,34
the investigation,4,0,0
investigation continues,1,0,0
continues catherine,1,0,0
catherine is,1,0,0
is forced,4,2,0
forced to,8,4,1
to choose,1,0,0
choose between,2,0,0
between her,1,1,0
her past,2,0,0
past passions,1,0,0
passions and,1,0,0
and new,2,1,1
new possibilities,1,0,0
possibilities even,1,0,0
even as,2,2,5
as handler,1,0,0
handler is,1,0,0
is discovering,1,0,0
discovering surprising,1,0,0
surprising new,1,0,1
new facts,1,0,0
facts about,1,0,0
about embry,1,0,0
embry and,1,0,0
and his,22,6,14
his possible,1,0,0
possible connection,1,0,0
connection to,1,0,0
to another,1,1,1
another disappearance,1,0,0
disappearance from,1,0,0
from campus,1,0,0
will,38,80,92
lightman,1,0,0
hip,5,12,3
londoner,2,0,0
who,107,88,112
one,51,188,194
day,25,14,31
realizes,3,1,1
that,151,602,617
friends,19,3,3
are,62,154,161
involved,2,8,3
with,170,317,441
responsibilities,2,0,0
